# displayed text	spelling source	upstream lines	upstream codes	exact observed Zipf or empty	admission policy
Visual Studio Code	rime-ice-en-ext	1389,1390	VisualStudioCode|VSCode		product-policy-4.0
IntelliJ IDEA	rime-ice-en-ext	475	IntelliJIDEA		product-policy-4.0
PyCharm	rime-ice-en-ext	591	PyCharm		product-policy-4.0
WebStorm	rime-ice-en-ext	739	WebStorm		product-policy-4.0
OpenAI	rime-ice-en-ext	1664	OpenAI		product-policy-4.0
ChatGPT	rime-ice-en-ext	1663	ChatGPT		product-policy-4.0
Claude	rime-ice-en-ext	2009	Claude	3.76	product-policy-4.0
Claude Code	rime-ice-en-ext	2501	ClaudeCode		product-policy-4.0
Codex	rime-ice-en-ext	2499	Codex	3.18	product-policy-4.0
Codex CLI	rime-ice-en-ext	2500	CodexCLI		product-policy-4.0
DeepSeek	rime-ice-en-ext	2436	DeepSeek		product-policy-4.0
Gemini	inkflow-maintained			3.38	product-policy-4.0
Qwen	rime-ice-en-ext	2486	Qwen		product-policy-4.0
Ollama	rime-ice-en-ext	2473	Ollama		product-policy-4.0
PyTorch	rime-ice-en-ext	2435	PyTorch		product-policy-4.0
TensorFlow	rime-ice-en-ext	2434	TensorFlow		product-policy-4.0
CUDA	rime-ice-en-ext	737	CUDA		product-policy-4.0
LLM	rime-ice-en-ext	727	LLM	2.29	product-policy-4.0
GPT	rime-ice-en-ext	1885	GPT	2.39	product-policy-4.0
MCP	rime-ice-en-ext	2502	MCP	2.58	product-policy-4.0
RAG	inkflow-maintained			3.55	product-policy-4.0
NLP	rime-ice-en-ext	730	NLP	2.59	product-policy-4.0
OCR	rime-ice-en-ext	1176	OCR	2.79	product-policy-4.0
AIGC	rime-ice-en-ext	2110	AIGC		product-policy-4.0
AGI	rime-ice-en-ext	1997	AGI	2.73	product-policy-4.0
